"spkid","name","pha","epoch","a","e","i","w","om","ma","H","G","GM"
20000433,Eros,N,2460600.5,1.458,0.2227,10.83,178.91,304.27,86.67,10.41,0.46,4.463e-04
20000719,Albert,N,2460600.5,2.636,0.5468,11.58,156.22,183.86,148.45,15.59,,
20000887,Alinda,N,2460600.5,2.473,0.5711,9.40,350.47,110.42,340.20,13.88,-0.12,
20001036,Ganymed,N,2460600.5,2.665,0.5328,26.69,132.50,215.49,6.98,9.25,0.30,
20001221,Amor,N,2460600.5,1.92,0.4347,11.87,26.72,171.26,271.70,17.38,,
20001566,Icarus,Y,2460600.5,1.078,0.8270,22.80,31.43,87.95,160.86,16.57,,
20001580,Betulia,N,2460600.5,2.195,0.4876,52.19,159.73,62.23,319.03,14.69,0.00,
20001620,Geographos,Y,2460600.5,1.246,0.3356,13.34,277.01,337.15,289.36,15.27,,
20001627,Ivar,N,2460600.5,1.863,0.3970,8.45,167.84,133.08,156.41,12.84,0.60,
20001685,Toro,N,2460600.5,1.368,0.4361,9.38,127.27,274.21,196.26,14.28,,
20001862,Apollo,Y,2460600.5,1.471,0.5599,6.35,286.03,35.56,252.87,16.08,0.09,
20001863,Antinous,N,2460600.5,2.261,0.6063,18.35,268.57,346.00,173.83,15.45,,
20001864,Daedalus,N,2460600.5,1.461,0.6143,22.21,325.66,6.61,34.28,14.86,,
20001865,Cerberus,N,2460600.5,1.08,0.4668,16.10,325.29,212.89,328.39,16.79,,
20001866,Sisyphus,N,2460600.5,1.894,0.5380,41.21,293.12,63.45,349.34,12.52,,
20001915,Quetzalcoatl,N,2460600.5,2.544,0.5703,20.40,347.77,162.93,284.48,18.38,0.10,
20001916,Boreas,N,2460600.5,2.273,0.4493,12.88,335.86,340.60,280.05,14.95,,
20001917,Cuyo,N,2460600.5,2.149,0.5057,23.96,194.56,188.28,34.92,14.41,,
20001943,Anteros,N,2460600.5,1.43,0.2561,8.71,338.46,246.30,29.90,15.70,,
20001980,Tezcatlipoca,N,2460600.5,1.71,0.3647,26.87,115.51,246.54,35.06,13.85,,
20001981,Midas,Y,2460600.5,1.776,0.6505,39.82,267.84,356.80,258.81,15.28,,
20002059,Baboquivari,N,2460600.5,2.642,0.5318,11.02,192.45,200.69,51.33,15.98,,
20002061,Anza,N,2460600.5,2.265,0.5356,3.80,157.09,207.36,283.26,16.70,,
20002062,Aten,N,2460600.5,0.967,0.1829,18.93,148.06,108.53,338.03,17.11,,
20002063,Bacchus,N,2460600.5,1.078,0.3494,9.44,55.34,33.04,242.55,17.21,,
